Model,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,Training_Time_sec
Logistic Regression,0.7567682796845022,0.6707477719576332,0.6798372488737724,0.6724383760702973,0.7583852317898916,8.131758399998944
Linear SVM,0.7499467064591772,0.6739240783353914,0.651918627613674,0.65922249004719,0.7481307772456933,7.496200699999463
Extra Trees,0.7360903858452356,0.7002055910591727,0.5657715921613237,0.5844042417145907,0.7077510313503826,17.474443000002793
Decision Tree,0.6842890641654231,0.6090560759497979,0.5867279114210903,0.5814345416237439,0.6894091590818758,5.343566400002601
Random Forest,0.73374547004903,0.6673162027890699,0.5520721265943765,0.5632416476197132,0.7029853288602241,14.696458700000221
KNN,0.5879343423577063,0.39563629217761376,0.3686545321622243,0.37286538625208765,0.5678278233580124,0.03641040000002249
